2026-07-05 14:14:43 | WARNING | trading_bot | EMERGENCY MODE ACTIVADO: Health monitor detecto estado ERROR
2026-07-05 14:32:48 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=500.59780000 requested_qty=962.07960000
2026-07-05 14:32:48 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:33:10 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:33:30 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:33:30 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:34:00 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:34:20 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:34:20 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:34:50 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:35:10 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:35:10 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:35:40 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:36:00 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:36:00 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:36:30 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:36:45 | WARNING | trading_bot | WebSocket stale detectado (market-crypto). Forzando reconexion controlada.
2026-07-05 14:36:50 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:36:50 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:37:20 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:37:40 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:37:40 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:38:10 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:38:30 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:38:30 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:39:00 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:39:20 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:39:20 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:39:50 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:40:10 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:40:10 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:40:16 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:40:16 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=502.35260000 requested_qty=988.20330000
2026-07-05 14:40:16 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:40:40 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:41:00 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:41:00 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:41:50 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:41:50 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:41:55 | WARNING | trading_bot | WebSocket stale detectado (market-crypto). Forzando reconexion controlada.
2026-07-05 14:42:00 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:42:40 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:42:40 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:42:50 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream market-stocks error for Paper: Connection to remote host was lost.
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream market-crypto error for Paper: Connection to remote host was lost.
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream news error for Paper: Connection to remote host was lost.
2026-07-05 14:43:04 | WARNING | trading_bot | Alpaca stream market-stocks error for Paper: Connection to remote host was lost.
2026-07-05 14:43:30 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:43:30 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:43:40 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:44:20 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:44:20 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:44:31 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:45:01 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:45:01 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=496.56764698 requested_qty=988.20330000
2026-07-05 14:45:01 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:45:11 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:45:11 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:45:15 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:45:16 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:45:16 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:46:05 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:46:05 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:46:05 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:46:55 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:46:55 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:46:55 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:47:45 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:47:45 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:47:45 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:48:35 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:48:35 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:48:35 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:49:25 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:49:25 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:49:25 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:50:15 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:50:15 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:50:15 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:51:05 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:51:06 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:51:06 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:51:56 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:51:56 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:52:06 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:52:46 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:52:46 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:52:56 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:53:36 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:53:36 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:53:46 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:54:04 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:54:04 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=501.72500000 requested_qty=988.20330000
2026-07-05 14:54:04 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:54:26 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:54:26 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:54:36 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:55:16 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:55:16 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:55:26 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:56:06 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:56:06 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:56:21 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:56:56 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:56:56 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:57:11 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:57:46 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:57:46 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:58:01 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:58:35 | WARNING | trading_bot | Forzando cierre de la aplicacion por solicitud del usuario.
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:59:29 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:59:29 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:59:29 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:59:41 | WARNING | trading_bot | No se pudo reconciliar salida limit faltante para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:59:41 | WARNING | trading_bot | No se pudo reconciliar salida limit faltante para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:59:42 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:59:42 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=501.02350000 requested_qty=988.20330000
2026-07-05 14:59:42 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:00:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:00:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:00:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:01:09 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:01:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:01:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:01:59 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:01:59 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:01:59 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:02:49 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:02:49 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:02:49 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:03:39 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:03:39 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:03:39 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:04:29 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:04:29 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:04:29 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:05:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:05:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:05:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:05:56 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 15:05:56 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=499.96490000 requested_qty=988.20330000
2026-07-05 15:05:56 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:06:09 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:06:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:06:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:06:59 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:06:59 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:06:59 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:07:49 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:07:49 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:07:49 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:07:59 | WARNING | trading_bot | WebSocket stale detectado (market-crypto). Forzando reconexion controlada.
2026-07-05 15:08:39 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:08:39 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:08:39 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:09:29 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:09:29 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:09:29 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:10:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:10:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:10:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:11:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:11:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:11:10 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:12:00 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 15:12:00 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 15:12:00 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 15:12:50 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
